s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,14.0000000
0.5676644,-0.0068564,0.5676229,0.0120786,0.0000000,5.6766435,0.0000000,14.0000000
1.1353287,-0.0141800,1.1352401,0.0129016,-0.0072514,5.6766435,0.0000000,14.0000000
1.7029931,-0.0218717,1.7028523,0.0135500,-0.0057125,5.6766435,56.6829070,14.0000000
2.2706574,-0.0298609,2.2704604,0.0140744,-0.0046201,5.6766435,-0.0001329,14.0000000
2.8383218,-0.0380972,2.8380650,0.0145095,-0.0038336,5.6766435,-56.7665225,14.0000000
3.4059861,-0.0465436,3.4056665,0.0148797,-0.0032615,5.6766435,-113.5329203,14.0000000
3.9736505,-0.0551731,3.9732653,0.0152025,-0.0028433,5.6766435,-170.2993129,14.0000000
4.5413148,-0.0638027,4.5408640,0.0152025,-0.0000000,5.6766435,-227.0656660,14.0000000
5.1089792,-0.0724323,5.1084628,0.0152025,0.0000000,5.6766435,-283.8320207,14.0000000
5.6766435,-0.0810618,5.6760616,0.0152025,-0.0000000,5.6766435,-340.5983984,14.0000000
6.2443079,-0.0896914,6.2436603,0.0152025,0.0000000,5.6766435,-397.3647905,14.0000000
6.8119722,-0.0983209,6.8112591,0.0152025,0.0000000,5.6766435,-454.1311922,14.0000000
7.3796366,-0.1069505,7.3788578,0.0152025,0.0000000,5.6766435,-510.8976006,14.0000000
7.9473009,-0.2883196,7.9167686,0.3252025,-2.6876754,5.6766435,-570.6233565,14.0000000
8.5149653,-0.6251379,8.3737110,0.6352025,-2.6876754,5.6766435,-635.8066895,14.0000000
9.0826296,-1.0852954,8.7061232,0.9452025,-2.6876754,5.6766435,-701.8638501,14.0000000
9.6502940,-1.6249241,8.8823154,1.2552025,-2.6876754,5.6766435,-763.0300312,14.0000000
10.2179583,-2.1914975,8.9174915,1.5087903,-2.2103307,5.6766435,-811.8784655,14.0000000
10.7856227,-2.7581747,8.9509543,1.5118139,-0.0266392,5.6766435,-834.4242265,14.0000000
11.3532870,-3.3248519,8.9844170,1.5118139,-0.0000000,5.6766435,-846.3725729,14.0000000
11.9209514,-3.8915291,9.0178798,1.5118139,0.0000000,5.6766435,-861.5162856,14.0000000
12.4886157,-4.4582063,9.0513426,1.5118139,-0.0000000,5.6766435,-879.8610783,14.0000000
13.0562801,-5.0248835,9.0848054,1.5118139,-0.0000000,5.6766435,-901.2230737,14.0000000
13.6239444,-5.5915608,9.1182682,1.5118139,0.0000000,5.6766435,-925.4054212,14.0000000
14.1916088,-6.1582380,9.1517310,1.5118139,0.0000000,5.6766435,-952.2053524,14.0000000
14.7592731,-6.7249152,9.1851937,1.5118139,-0.0000000,5.6766435,-981.4201748,14.0000000
